example,IMM,S,J
sum_to_n,0.6628141023724907,0.5493589740105892,0.8014814814814815
buggy_sum,0.6176666664759722,0.4890909087441921,0.7748148148148148
swapped_if,0.617061274317888,0.4879901957294933,0.7748148148148148
